storm_event_id,storm_date,storm_name,storm_event_type,storm_issues,storm_location,storm_duration
SW2621,7/10/2020 08:00 PM,Tropical Storm Fay,Tropical Cyclone,High Winds,"Queens, Staten Island, Manhattan, Brooklyn, Bronx",4 hours
SW2936,6/30/2021 09:00 PM,High Wind Event,Thunderstorms,High Winds,Manhattan,3 hours
SW2937,8/21/2021 12:00 AM,Hurricane Henri,Tropical Cyclone,Flash Flooding,"Manhattan, Bronx, Brooklyn, Staten Island, Queens",3 days
SW2938,9/1/2021 12:00 AM,Hurricane Ida,Tropical Cyclone,"Flash Flooding, High Winds","Queens, Staten Island, Brooklyn, Bronx, Manhattan","1 day, 10 hours"
SW2939,7/9/2021 12:00 AM,Tropical Storm Elsa,Tropical Cyclone,"High Winds, Flash Flooding","Manhattan, Bronx, Brooklyn, Staten Island, Queens",1 day
SW2943,9/23/2021 12:00 AM,Flash Flood Event,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Staten Island, Queens","2 days, 23 hours"
SW2944,10/25/2021 05:17 PM,Flash Flood Event,Tidal Flooding,Flash Flooding,"Queens, Staten Island, Brooklyn, Bronx, Manhattan",2 days
SW2950,6/2/2022 07:00 AM,Flash Flood,Tidal Flooding,Flash Flooding,"Queens, Staten Island, Bronx, Brooklyn, Manhattan","1 day, 2 hours"
SW2952,7/23/2022 12:00 PM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Air Quality","Bronx, Manhattan","2 days, 19 hours"
SW2955,8/9/2022 09:00 AM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island",2 days
SW2956,8/21/2022 11:00 AM,Flash Flooding Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","2 days, 4 hours"
SW2957,9/4/2022 04:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","2 days, 15 hours"
SW2958,9/13/2022 04:00 AM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 2 hours"
SW2959,9/29/2022 05:00 PM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Air Quality","Manhattan, Bronx, Brooklyn, Queens, Staten Island","3 days, 17 hours"
SW2960,10/12/2022 04:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 17 hours"
SW2961,11/9/2022 11:00 AM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","2 days, 22 hours"
SW2962,12/20/2022 03:00 PM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Coastal Flooding, Air Quality","Staten Island, Queens, Brooklyn, Bronx, Manhattan","3 days, 22 hours"
SW2965,4/28/2023 11:00 PM,Month of Rain in 72 Hours,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","2 days, 12 hours"
SW2968,3/13/2023 07:00 AM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 9 hours"
SW2969,5/20/2023 12:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","18 hours, 30 minutes"
SW2970,6/22/2023 09:30 AM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 week, 2 hours"
SW2971,7/1/2023 04:30 PM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Air Quality","Manhattan, Bronx, Brooklyn, Queens, Staten Island","3 days, 19 hours"
SW2972,7/7/2023 05:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","2 days, 16 hours"
SW2973,7/13/2023 09:00 AM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Air Quality","Manhattan, Bronx, Brooklyn, Queens, Staten Island","3 days, 23 hours"
SW2974,7/20/2023 08:00 AM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 week, 2 days"
SW2976,7/26/2023 04:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","3 days, 5 hours"
SW2977,8/6/2023 04:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","1 day, 21 hours"
SW2978,8/9/2023 06:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 16 hours"
SW2979,8/13/2023 04:00 PM,Flash Flood Emergency,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","2 days, 2 hours"
SW2980,9/28/2023 12:00 AM,Flash Flood and Severe Storm,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","2 days, 23 hours"
SW2981,7/13/2025 12:00 AM,Subway Flooding,Tidal Flooding,Flash Flooding,"Manhattan, Bronx, Brooklyn, Queens, Staten Island","5 days, 23 hours"
SW2982,7/31/2025 12:00 AM,Flash Flood,Thunderstorms,Flash Flooding,"Staten Island, Queens, Brooklyn, Bronx, Manhattan","1 day, 23 hours"
SW2983,9/21/2023 05:00 PM,Flash Flood Emergency,Tidal Flooding,"Flash Flooding, Coastal Flooding",,"3 days, 21 hours"
SW2984,9/29/2023 06:00 AM,Flash Flood Emergency,Tidal Flooding,"Coastal Flooding, Flash Flooding",,"1 day, 6 hours"
